iter	Passed	Remaining
0	107	53404
1	195	48723
2	284	47188
3	384	47617
4	487	48243
5	567	46692
6	661	46584
7	761	46813
8	864	47176
9	963	47193
10	1059	47088
11	1149	46762
12	1239	46448
13	1319	45791
14	1440	46567
15	1593	48195
16	1692	48087
17	1783	47767
18	1873	47419
19	1965	47183
20	2068	47176
21	2156	46857
22	2268	47041
23	2379	47192
24	2468	46910
25	2553	46547
26	2664	46679
27	2766	46636
28	2872	46651
29	2976	46625
30	3069	46438
31	3157	46176
32	3237	45812
33	3320	45516
34	3407	45266
35	3494	45037
36	3583	44845
37	3664	44550
38	3741	44229
39	3822	43961
40	3898	43641
41	3975	43354
42	4057	43122
43	4136	42866
44	4222	42692
45	4314	42580
46	4400	42415
47	4487	42259
48	4561	41987
49	4657	41916
50	4738	41713
51	4829	41611
52	4917	41478
53	5012	41395
54	5089	41176
55	5176	41043
56	5292	41131
57	5396	41127
58	5478	40953
59	5571	40856
60	5661	40741
61	5750	40625
62	5844	40537
63	5935	40432
64	6022	40304
65	6112	40195
66	6192	40017
67	6279	39892
68	6367	39772
69	6450	39625
70	6534	39484
71	6614	39320
72	6708	39241
73	6798	39136
74	6881	38995
75	6968	38877
76	7063	38804
77	7152	38698
78	7241	38590
79	7330	38486
80	7418	38375
81	7508	38274
82	7593	38149
83	7677	38023
84	7769	37933
85	7852	37800
86	7943	37710
87	8033	37612
88	8123	37513
89	8206	37386
90	8314	37371
91	8413	37310
92	8509	37239
93	8609	37184
94	8694	37067
95	8795	37012
96	8884	36912
97	8979	36832
98	9077	36769
99	9196	36785
100	9314	36797
101	9402	36687
102	9485	36562
103	9583	36491
104	9677	36405
105	9769	36313
106	9857	36205
107	9947	36105
108	10037	36006
109	10122	35887
110	10214	35797
111	10300	35682
112	10394	35599
113	10478	35481
114	10573	35398
115	10662	35295
116	10747	35180
117	10836	35080
118	10927	34987
119	11017	34887
120	11096	34756
121	11182	34648
122	11270	34544
123	11355	34432
124	11466	34400
125	11574	34355
126	11659	34244
127	11751	34153
128	11834	34036
129	11918	33921
130	12014	33841
131	12097	33727
132	12172	33589
133	12260	33487
134	12372	33450
135	12475	33390
136	12566	33296
137	12652	33189
138	12744	33098
139	12834	33002
140	12916	32887
141	13005	32787
142	13093	32686
143	13180	32583
144	13260	32466
145	13344	32355
146	13423	32235
147	13520	32156
148	13608	32056
149	13685	31933
150	13775	31838
151	13856	31723
152	13942	31620
153	14024	31508
154	14113	31413
155	14186	31284
156	14274	31185
157	14352	31066
158	14437	30963
159	14521	30859
160	14609	30762
161	14697	30664
162	14774	30545
163	14863	30451
164	14945	30344
165	15021	30224
166	15099	30107
167	15184	30006
168	15269	29906
169	15354	29806
170	15435	29698
171	15524	29604
172	15600	29486
173	15684	29385
174	15771	29289
175	15855	29187
176	15974	29152
177	16076	29082
178	16153	28967
179	16239	28869
180	16322	28766
181	16400	28656
182	16476	28540
183	16566	28451
184	16646	28344
185	16734	28250
186	16810	28137
187	16896	28041
188	16970	27925
189	17061	27837
190	17141	27731
191	17237	27651
192	17321	27552
193	17438	27505
194	17517	27399
195	17594	27289
196	17676	27187
197	17759	27087
198	17846	26994
199	17927	26891
200	18023	26811
201	18108	26715
202	18193	26618
203	18282	26527
204	18370	26435
205	18445	26325
206	18531	26230
207	18613	26130
208	18701	26039
209	18781	25935
210	18889	25872
211	19001	25813
212	19089	25721
213	19175	25627
214	19261	25532
215	19364	25460
216	19447	25361
217	19520	25250
218	19611	25163
219	19689	25058
220	19780	24972
221	19865	24876
222	19954	24786
223	20032	24682
224	20120	24592
225	20198	24488
